[05-07-2025][04.25.34] New Synch Log File Created!
[05-07-2025][12.45.11] Log file reloaded ( Server Restart )
[20:23:40] Player (Mendoza, 76561197963413528)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[20:23:45] Player (Mendoza, 76561197963413528)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[20:23:45] Player (Mendoza, 76561197963413528)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[20:23:45] Player (Mendoza, 76561197963413528)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[20:23:45] Player (Mendoza, 76561197963413528)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[20:23:47] Player (Mendoza, 76561197963413528)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[20:23:47] Player (Mendoza, 76561197963413528)(<6303.280762, 21.892134, 9520.394531>) requested data for lock!
[20:23:49] Player (Burli, 76561199403818735)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[20:24:00] Player (Mendoza, 76561197963413528)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[20:24:25] Player (Burli, 76561199403818735)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[20:24:26] Player (Burli, 76561199403818735)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[20:24:26] Player (Burli, 76561199403818735)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[20:24:26] Player (Burli, 76561199403818735)(<6303.280762, 21.892134, 9520.394531>) requested data for lock!
[20:24:26] Player (Burli, 76561199403818735)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[20:24:28] Player (Burli, 76561199403818735)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[20:24:37] Player (Burli, 76561199403818735)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[05-07-2025][21.05.29] Log file reloaded ( Server Restart )
[21:06:14] Player (Mendoza, 76561197963413528)(<6303.280762, 21.892134, 9520.394531>) requested data for lock!
[21:06:14] Player (Mendoza, 76561197963413528)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[21:06:14] Player (Mendoza, 76561197963413528)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[21:06:14] Player (Mendoza, 76561197963413528)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[21:06:22] Player (Mendoza, 76561197963413528)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[21:06:22] Player (Mendoza, 76561197963413528)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[21:06:23] Player (Mendoza, 76561197963413528)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[21:06:23] Player (Mendoza, 76561197963413528)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[21:18:50] Player (Burli, 76561199403818735)(<6303.280762, 21.892134, 9520.394531>) requested data for lock!
[21:18:50] Player (Burli, 76561199403818735)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[21:18:50] Player (Burli, 76561199403818735)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[21:18:50] Player (Burli, 76561199403818735)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[21:18:50] Player (Burli, 76561199403818735)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[21:18:50] Player (Burli, 76561199403818735)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[21:18:50] Player (Burli, 76561199403818735)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[21:18:50] Player (Burli, 76561199403818735)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[22:01:43] Player (Burli, 76561199403818735)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[22:01:43] Player (Mendoza, 76561197963413528)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[22:01:55] Player (Burli, 76561199403818735)(<6303.280762, 21.892134, 9520.394531>) requested data for lock!
[22:01:55] Player (Mendoza, 76561197963413528)(<6303.280762, 21.892134, 9520.394531>) requested data for lock!
[22:01:55] Player (Mendoza, 76561197963413528)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[22:01:55] Player (Burli, 76561199403818735)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[22:01:55] Player (Mendoza, 76561197963413528)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[22:01:55] Player (Burli, 76561199403818735)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[22:01:56] Player (Mendoza, 76561197963413528)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[22:01:56] Player (Mendoza, 76561197963413528)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[22:01:56] Player (Burli, 76561199403818735)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[22:01:56] Player (Burli, 76561199403818735)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[22:01:56] Player (Mendoza, 76561197963413528)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[22:01:56] Player (Burli, 76561199403818735)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[22:01:58] Player (Burli, 76561199403818735)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[22:01:58] Player (Mendoza, 76561197963413528)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[22:04:31] Player (Mendoza, 76561197963413528)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[22:04:31] Player (Burli, 76561199403818735)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
