[05-26-2025][04.26.05] New Synch Log File Created!
[05-26-2025][12.45.31] Log file reloaded ( Server Restart )
[05-26-2025][21.03.38] Log file reloaded ( Server Restart )
[21:41:39] Player (Decalacs, 76561199213212083)(<6630.036133, 16.340645, 11277.896484>) requested data for lock!
[01:06:27] Player (Decalacs, 76561199213212083)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[01:06:28] Player (Decalacs, 76561199213212083)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[01:06:29] Player (Decalacs, 76561199213212083)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[01:06:29] Player (Decalacs, 76561199213212083)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[01:06:30] Player (Decalacs, 76561199213212083)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[01:06:31] Player (Decalacs, 76561199213212083)(<6298.707031, 21.894258, 9521.250977>) requested data for lock!
[01:06:31] Player (Decalacs, 76561199213212083)(<6295.278809, 21.912560, 9518.042969>) requested data for lock!
[01:06:31] Player (Decalacs, 76561199213212083)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[01:06:35] Player (Decalacs, 76561199213212083)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[01:38:26] Player (Decalacs, 76561199213212083)(<6630.036133, 16.340645, 11277.896484>) requested data for lock!
[01:59:50] Player (Decalacs, 76561199213212083)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[01:59:52] Player (Decalacs, 76561199213212083)(<6298.707031, 21.894258, 9521.250977>) requested data for lock!
[01:59:53] Player (Decalacs, 76561199213212083)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[01:59:54] Player (Decalacs, 76561199213212083)(<6295.278809, 21.912560, 9518.042969>) requested data for lock!
[01:59:54] Player (Decalacs, 76561199213212083)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[01:59:54] Player (Decalacs, 76561199213212083)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[01:59:54] Player (Decalacs, 76561199213212083)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[01:59:54] Player (Decalacs, 76561199213212083)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[02:07:39] Player (Decalacs (2), 76561199213212083)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[02:07:40] Player (Decalacs (2), 76561199213212083)(<6298.707031, 21.894258, 9521.250977>) requested data for lock!
[02:07:40] Player (Decalacs (2), 76561199213212083)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[02:07:40] Player (Decalacs (2), 76561199213212083)(<6295.278809, 21.912560, 9518.042969>) requested data for lock!
[02:07:41] Player (Decalacs (2), 76561199213212083)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[02:07:41] Player (Decalacs (2), 76561199213212083)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[02:07:41] Player (Decalacs (2), 76561199213212083)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[02:07:41] Player (Decalacs (2), 76561199213212083)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[02:07:41] Player (Decalacs (2), 76561199213212083)(<6630.036133, 16.340645, 11277.896484>) requested data for lock!
[02:15:26] Player (Decalacs, 76561199213212083)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[02:15:26] Player (Decalacs, 76561199213212083)(<6298.707031, 21.894258, 9521.250977>) requested data for lock!
[02:15:26] Player (Decalacs, 76561199213212083)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[02:15:26] Player (Decalacs, 76561199213212083)(<6295.278809, 21.912560, 9518.042969>) requested data for lock!
[02:15:26] Player (Decalacs, 76561199213212083)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[02:15:26] Player (Decalacs, 76561199213212083)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[02:15:26] Player (Decalacs, 76561199213212083)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[02:15:26] Player (Decalacs, 76561199213212083)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[02:15:26] Player (Decalacs, 76561199213212083)(<6630.036133, 16.340645, 11277.896484>) requested data for lock!
[02:27:25] Player (Decalacs, 76561199213212083)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
