[05-23-2025][04.26.10] New Synch Log File Created!
[05-23-2025][12.45.14] Log file reloaded ( Server Restart )
[05-23-2025][21.04.51] Log file reloaded ( Server Restart )
[22:59:58] Player (Decalacs, 76561199213212083)(<6295.278809, 21.912560, 9518.042969>) requested data for lock!
[23:00:00] Player (Decalacs, 76561199213212083)(<6298.707031, 21.894258, 9521.250977>) requested data for lock!
[23:00:01] Player (Decalacs, 76561199213212083)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[23:00:03] Player (Decalacs, 76561199213212083)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[23:00:03] Player (Decalacs, 76561199213212083)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[23:00:04] Player (Decalacs, 76561199213212083)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[23:00:04] Player (Decalacs, 76561199213212083)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[23:00:05] Player (Decalacs, 76561199213212083)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[23:00:05] Player (Decalacs, 76561199213212083)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[23:00:47] Player (Decalacs, 76561199213212083)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[23:00:47] Player (Decalacs, 76561199213212083)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[23:00:47] Player (Decalacs, 76561199213212083)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[23:00:47] Player (Decalacs, 76561199213212083)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[23:00:47] Player (Decalacs, 76561199213212083)(<6298.707031, 21.894258, 9521.250977>) requested data for lock!
[23:00:47] Player (Decalacs, 76561199213212083)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[23:00:48] Player (Decalacs, 76561199213212083)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[23:00:48] Player (Decalacs, 76561199213212083)(<6295.278809, 21.912560, 9518.042969>) requested data for lock!
[23:00:48] Player (Decalacs, 76561199213212083)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[23:57:42] Player (Decalacs, 76561199213212083)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[23:57:42] Player (Decalacs, 76561199213212083)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[23:57:42] Player (Decalacs, 76561199213212083)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[23:57:42] Player (Decalacs, 76561199213212083)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[23:57:43] Player (Decalacs, 76561199213212083)(<6298.707031, 21.894258, 9521.250977>) requested data for lock!
[23:57:43] Player (Decalacs, 76561199213212083)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[23:57:43] Player (Decalacs, 76561199213212083)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[23:57:43] Player (Decalacs, 76561199213212083)(<6295.278809, 21.912560, 9518.042969>) requested data for lock!
[23:57:43] Player (Decalacs, 76561199213212083)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[01:37:08] Player (Decalacs, 76561199213212083)(<6298.707031, 21.894258, 9521.250977>) requested data for lock!
[01:37:08] Player (Decalacs, 76561199213212083)(<6295.278809, 21.912560, 9518.042969>) requested data for lock!
[01:37:08] Player (Decalacs, 76561199213212083)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[01:37:11] Player (Decalacs, 76561199213212083)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[01:37:12] Player (Decalacs, 76561199213212083)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[01:37:14] Player (Decalacs, 76561199213212083)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[01:37:32] Player (Decalacs, 76561199213212083)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[01:37:35] Player (Decalacs, 76561199213212083)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[01:37:52] Player (Decalacs, 76561199213212083)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
