[06-02-2025][04.25.47] New Synch Log File Created!
[06-02-2025][12.43.40] Log file reloaded ( Server Restart )
[20:22:57] Player (Anjabro, 76561198057577148)(<6630.036133, 16.340645, 11277.896484>) requested data for lock!
[20:50:32] Player (Anjabro, 76561198057577148)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[20:50:34] Player (Anjabro, 76561198057577148)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[20:50:34] Player (Anjabro, 76561198057577148)(<6298.707031, 21.894258, 9521.250977>) requested data for lock!
[20:50:35] Player (Anjabro, 76561198057577148)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[20:50:35] Player (Anjabro, 76561198057577148)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[20:50:35] Player (Anjabro, 76561198057577148)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[20:50:36] Player (Anjabro, 76561198057577148)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
[20:50:37] Player (Anjabro, 76561198057577148)(<6295.278809, 21.912560, 9518.042969>) requested data for lock!
[20:50:52] Player (Anjabro, 76561198057577148)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[06-02-2025][21.01.16] Log file reloaded ( Server Restart )
[21:04:15] Player (Anjabro, 76561198057577148)(<6319.344238, 21.766153, 9508.742188>) requested data for lock!
[21:04:15] Player (Anjabro, 76561198057577148)(<6307.780273, 21.888290, 9515.652344>) requested data for lock!
[21:04:15] Player (Anjabro, 76561198057577148)(<6323.524414, 21.737755, 9508.852539>) requested data for lock!
[21:04:15] Player (Anjabro, 76561198057577148)(<6314.928223, 21.875349, 9512.620117>) requested data for lock!
[21:04:15] Player (Anjabro, 76561198057577148)(<6325.465820, 22.154179, 9406.088867>) requested data for lock!
[21:04:15] Player (Anjabro, 76561198057577148)(<6298.707031, 21.894258, 9521.250977>) requested data for lock!
[21:04:15] Player (Anjabro, 76561198057577148)(<6295.278809, 21.912560, 9518.042969>) requested data for lock!
[21:04:15] Player (Anjabro, 76561198057577148)(<6318.932129, 21.805933, 9538.139648>) requested data for lock!
[21:04:21] Player (Anjabro, 76561198057577148)(<6310.850098, 21.902084, 9508.443359>) requested data for lock!
